HourRange,TotalPassengerCount,AverageWait
0700 - 0800,1011,44
0800 - 0900,1579,34
0900 - 1000,1267,35
1000 - 1100,934,15
1100 - 1200,2012,23
1200 - 1300,1821,23
1300 - 1400,2833,34
1400 - 1500,674,18
1500 - 1600,1113,13
1600 - 1700,743,9
1700 - 1800,938,10
1800 - 1900,1882,16
1900 - 2000,2562,31
2000 - 2100,1117,25
2100 - 2200,560,17
2200 - 2300,1214,21
2300 - 0000,316,22
0500 - 0600,557,13
0600 - 0700,2384,20
0700 - 0800,1691,23
0800 - 0900,1500,38
0900 - 1000,1582,37
1000 - 1100,1472,31
1100 - 1200,1071,31
1200 - 1300,2909,29
1300 - 1400,1881,41
1400 - 1500,1098,23
1500 - 1600,1923,28
1600 - 1700,754,11
1700 - 1800,960,12
1800 - 1900,1444,13
1900 - 2000,1760,19
2000 - 2100,1115,14
2100 - 2200,1653,20
2200 - 2300,1226,28
2300 - 0000,325,17
0500 - 0600,1838,29
0600 - 0700,1518,33
0700 - 0800,1060,30
0800 - 0900,1162,27
0900 - 1000,1953,44
1000 - 1100,1236,30
1100 - 1200,1653,27
1200 - 1300,1562,13
1300 - 1400,3240,25
1400 - 1500,930,17
1500 - 1600,1736,17
1600 - 1700,1596,12
1700 - 1800,1064,12
1800 - 1900,2020,16
1900 - 2000,2032,23
2000 - 2100,991,17
2100 - 2200,1195,13
2200 - 2300,1376,22
2300 - 0000,493,19
0500 - 0600,1091,19
0600 - 0700,2138,35
0700 - 0800,1635,48
0800 - 0900,1658,61
0900 - 1000,893,48
1000 - 1100,799,21
1100 - 1200,1453,19
1200 - 1300,2455,28
1300 - 1400,2453,38
1400 - 1500,891,38
1500 - 1600,1327,15
1600 - 1700,1004,15
1700 - 1800,927,12
1800 - 1900,1796,16
1900 - 2000,1366,15
2000 - 2100,877,13
2100 - 2200,910,16
2200 - 2300,1134,15
2300 - 0000,803,16
0500 - 0600,1114,24
0600 - 0700,1861,31
0700 - 0800,1413,47
0800 - 0900,1334,52
0900 - 1000,1033,38
1000 - 1100,899,21
1100 - 1200,1035,15
1200 - 1300,2138,20
1300 - 1400,2182,27
1400 - 1500,839,21
1500 - 1600,1276,16
1600 - 1700,1038,28
1700 - 1800,421,9
1800 - 1900,1466,14
1900 - 2000,1637,21
2000 - 2100,335,9
2100 - 2200,937,13
2200 - 2300,723,11
2300 - 0000,238,8
0500 - 0600,1316,23
0600 - 0700,1579,31
0700 - 0800,887,32
0800 - 0900,1533,40
0900 - 1000,1259,36
1000 - 1100,1145,25
1100 - 1200,1899,43
1200 - 1300,1225,50
1300 - 1400,1880,48
1400 - 1500,687,37
1500 - 1600,1194,32
1600 - 1700,1329,18
1700 - 1800,511,8
1800 - 1900,1536,11
1900 - 2000,1346,25
2000 - 2100,545,14
2100 - 2200,1186,13
2200 - 2300,973,16
2300 - 0000,410,14
0500 - 0600,1970,34
0600 - 0700,420,32
0700 - 0800,1220,40
0800 - 0900,1670,59
0900 - 1000,974,40
1000 - 1100,881,15
1100 - 1200,1740,25
1200 - 1300,1519,21
1300 - 1400,1705,30
1400 - 1500,558,13
1500 - 1600,1798,15
1600 - 1700,220,12
1700 - 1800,996,11
1800 - 1900,825,15
1900 - 2000,1855,24
2000 - 2100,667,15
2100 - 2200,982,22
2200 - 2300,568,20
2300 - 0000,233,13
0400 - 0500,246,24
0500 - 0600,1868,29
0600 - 0700,728,31
0700 - 0800,1102,28
0800 - 0900,1461,49
0900 - 1000,699,44
1000 - 1100,1887,33
1100 - 1200,1705,36
1200 - 1300,1503,33
1300 - 1400,1570,40
1400 - 1500,473,20
1500 - 1600,1347,17
1600 - 1700,857,12
1700 - 1800,632,16
1800 - 1900,1732,15
1900 - 2000,1494,23
2000 - 2100,546,21
2100 - 2200,1372,14
2200 - 2300,1086,17
2300 - 0000,308,13
0500 - 0600,1551,23
0600 - 0700,1061,36
0700 - 0800,984,28
0800 - 0900,1367,26
0900 - 1000,1492,29
1000 - 1100,1203,21
1100 - 1200,1229,24
1200 - 1300,1526,17
1300 - 1400,2820,37
1400 - 1500,811,18
1500 - 1600,2039,15
1600 - 1700,631,10
1700 - 1800,579,13
1800 - 1900,1281,11
1900 - 2000,1971,17
2000 - 2100,798,16
2100 - 2200,1514,19
2200 - 2300,827,45
0000 - 0100,330,11
0500 - 0600,848,21
0600 - 0700,1795,20
0700 - 0800,445,21
0800 - 0900,1647,18
0900 - 1000,1334,31
1000 - 1100,1901,34
1100 - 1200,1813,27
1200 - 1300,1531,27
1300 - 1400,1446,15
1400 - 1500,2776,30
1500 - 1600,878,14
1600 - 1700,2357,13
1700 - 1800,1094,10
1800 - 1900,1698,14
1900 - 2000,1526,17
2000 - 2100,1808,26
2100 - 2200,1598,15
2200 - 2300,1610,16
2300 - 0000,691,16
0500 - 0600,620,9
0600 - 0700,1540,18
0700 - 0800,895,29
0800 - 0900,1024,24
0900 - 1000,1231,27
1000 - 1100,1209,25
1100 - 1200,1634,15
1200 - 1300,2097,26
1300 - 1400,1544,22
1400 - 1500,1998,27
1500 - 1600,547,25
1600 - 1700,1332,12
1700 - 1800,1061,9
1800 - 1900,1517,13
1900 - 2000,1097,17
2000 - 2100,1777,26
2100 - 2200,1333,26
2200 - 2300,1064,17
2300 - 0000,997,11
0500 - 0600,762,15
0600 - 0700,1191,14
0700 - 0800,914,25
0800 - 0900,725,12
0900 - 1000,1363,26
1000 - 1100,632,19
1100 - 1200,1945,17
1200 - 1300,1170,21
1300 - 1400,1718,17
1400 - 1500,1407,19
1500 - 1600,987,14
1600 - 1700,1139,14
1700 - 1800,1283,12
1800 - 1900,1177,11
1900 - 2000,839,10
2000 - 2100,1744,24
2100 - 2200,448,22
2200 - 2300,1021,22
2300 - 0000,669,13
0500 - 0600,875,14
0600 - 0700,1211,23
0700 - 0800,885,23
0800 - 0900,680,19
0900 - 1000,1126,39
1000 - 1100,1194,29
1100 - 1200,1614,18
1200 - 1300,1670,21
1300 - 1400,1664,21
1400 - 1500,1462,23
1500 - 1600,685,14
1600 - 1700,1720,13
1700 - 1800,835,13
1800 - 1900,1020,8
1900 - 2000,1029,15
2000 - 2100,1233,18
2100 - 2200,539,12
2200 - 2300,1017,16
2300 - 0000,825,15
0000 - 0100,175,15
0500 - 0600,924,16
0600 - 0700,854,13
0700 - 0800,848,27
0800 - 0900,1017,23
0900 - 1000,1176,37
1000 - 1100,1327,29
1100 - 1200,891,16
1200 - 1300,1328,14
1300 - 1400,1885,20
1400 - 1500,1676,29
1500 - 1600,1385,24
1600 - 1700,847,16
1700 - 1800,988,10
1800 - 1900,1197,13
1900 - 2000,1735,17
2000 - 2100,973,18
2100 - 2200,969,11
2200 - 2300,937,18
2300 - 0000,927,12
0500 - 0600,915,24
0600 - 0700,1642,50
0700 - 0800,104,88
0800 - 0900,1651,51
0900 - 1000,1117,65
1000 - 1100,798,54
1100 - 1200,1330,29
1200 - 1300,1944,25
1300 - 1400,2395,25
1400 - 1500,2047,29
1500 - 1600,960,13
1600 - 1700,981,6
1700 - 1800,1374,12
1800 - 1900,1140,12
1900 - 2000,2412,27
2000 - 2100,1495,38
2100 - 2200,950,34
2200 - 2300,1390,22
2300 - 0000,1019,16
0000 - 0100,172,14
0500 - 0600,754,14
0600 - 0700,1355,16
0700 - 0800,1126,40
0800 - 0900,1231,33
0900 - 1000,1904,54
1000 - 1100,1165,34
1100 - 1200,1115,18
1200 - 1300,1333,20
1300 - 1400,1864,21
1400 - 1500,2779,26
1500 - 1600,2268,27
1600 - 1700,879,14
1700 - 1800,1377,13
1800 - 1900,349,7
1900 - 2000,2180,23
2000 - 2100,1888,36
2100 - 2200,1303,35
2200 - 2300,1385,30
2300 - 0000,787,22
0000 - 0100,190,13
0500 - 0600,1132,18
0600 - 0700,2042,26
0700 - 0800,819,23
0800 - 0900,482,24
0900 - 1000,1659,29
1000 - 1100,1224,26
1100 - 1200,1317,20
1200 - 1300,2210,16
1300 - 1400,2776,26
1400 - 1500,2521,37
1500 - 1600,475,28
1600 - 1700,2502,15
1700 - 1800,1837,12
1800 - 1900,1361,10
1900 - 2000,1416,17
2000 - 2100,2112,28
2100 - 2200,895,21
2200 - 2300,2309,20
2300 - 0000,640,13
0500 - 0600,1042,12
0600 - 0700,2023,25
0700 - 0800,471,36
0800 - 0900,944,24
0900 - 1000,1709,48
1000 - 1100,1047,28
1100 - 1200,1393,28
1200 - 1300,2344,19
1300 - 1400,1120,17
1400 - 1500,2288,16
1500 - 1600,745,7
1600 - 1700,2040,11
1700 - 1800,1310,9
1800 - 1900,1140,12
1900 - 2000,1970,25
2000 - 2100,1057,19
2100 - 2200,1097,16
2200 - 2300,958,21
2300 - 0000,959,17
0500 - 0600,1050,16
0600 - 0700,1493,19
0700 - 0800,272,23
0800 - 0900,1837,22
0900 - 1000,439,26
1000 - 1100,1029,14
1100 - 1200,1425,13
1200 - 1300,1982,19
1300 - 1400,1174,15
1400 - 1500,1945,19
1500 - 1600,978,12
1600 - 1700,1354,10
1700 - 1800,658,10
1800 - 1900,1566,17
1900 - 2000,996,25
2000 - 2100,1332,28
2100 - 2200,740,13
2200 - 2300,885,13
2300 - 0000,565,12
0500 - 0600,621,10
0600 - 0700,2097,20
0700 - 0800,386,21
0800 - 0900,852,21
0900 - 1000,1405,24
1000 - 1100,1017,19
1100 - 1200,1164,12
1200 - 1300,1889,23
1300 - 1400,2832,40
1400 - 1500,1054,37
1500 - 1600,574,21
1600 - 1700,1489,12
1700 - 1800,783,13
1800 - 1900,1371,13
1900 - 2000,1292,23
2000 - 2100,708,11
2100 - 2200,955,18
2200 - 2300,763,15
2300 - 0000,779,20
0500 - 0600,939,15
0600 - 0700,1592,24
0700 - 0800,619,37
0800 - 0900,1207,43
0900 - 1000,1342,53
1000 - 1100,651,27
1100 - 1200,1091,27
1200 - 1300,1765,24
1300 - 1400,1817,28
1400 - 1500,1565,25
1500 - 1600,1228,18
1600 - 1700,1129,8
1700 - 1800,1263,12
1800 - 1900,1018,10
1900 - 2000,2254,33
2000 - 2100,1083,24
2100 - 2200,806,25
2200 - 2300,781,25
2300 - 0000,501,22
0500 - 0600,1131,14
0600 - 0700,974,19
0700 - 0800,1545,39
0800 - 0900,650,37
0900 - 1000,1366,35
1000 - 1100,1443,26
1100 - 1200,1521,30
1200 - 1300,1847,32
1300 - 1400,2046,38
1400 - 1500,1222,29
1500 - 1600,542,23
1600 - 1700,1776,16
1700 - 1800,1358,12
1800 - 1900,847,11
1900 - 2000,2171,27
2000 - 2100,1567,52
2100 - 2200,1301,35
2200 - 2300,870,35
2300 - 0000,746,28
0500 - 0600,1087,12
0600 - 0700,1671,22
0700 - 0800,632,50
0800 - 0900,846,31
0900 - 1000,1883,50
1000 - 1100,2076,55
1100 - 1200,595,49
1200 - 1300,2458,47
1300 - 1400,1460,43
1400 - 1500,2631,32
1500 - 1600,1112,20
1600 - 1700,1610,17
1700 - 1800,1383,13
1800 - 1900,1021,9
1900 - 2000,2054,19
2000 - 2100,1193,14
2100 - 2200,2227,20
2200 - 2300,1302,30
2300 - 0000,794,32
0500 - 0600,1052,17
0600 - 0700,1735,25
0700 - 0800,385,45
0800 - 0900,1483,23
0900 - 1000,1506,33
1000 - 1100,1760,29
1100 - 1200,2218,21
1200 - 1300,2199,26
1300 - 1400,2146,25
1400 - 1500,2387,34
1500 - 1600,1275,19
1600 - 1700,2066,15
1700 - 1800,1855,10
1800 - 1900,1644,13
1900 - 2000,1986,17
2000 - 2100,1999,24
2100 - 2200,1055,13
2200 - 2300,1691,19
2300 - 0000,1018,12
0500 - 0600,591,12
0600 - 0700,1531,15
0700 - 0800,1412,33
0800 - 0900,731,18
0900 - 1000,1009,20
1000 - 1100,2165,34
1100 - 1200,1315,25
1200 - 1300,1699,30
1300 - 1400,2543,23
1400 - 1500,1086,30
1500 - 1600,757,12
1600 - 1700,1906,11
1700 - 1800,1643,9
1800 - 1900,248,13
1900 - 2000,1261,15
2000 - 2100,1962,29
2100 - 2200,1852,24
2200 - 2300,1504,18
2300 - 0000,777,14
0500 - 0600,380,10
0600 - 0700,1457,13
0700 - 0800,1305,22
0800 - 0900,884,20
0900 - 1000,515,21
1000 - 1100,1630,26
1100 - 1200,1450,30
1200 - 1300,2189,37
1300 - 1400,1487,40
1400 - 1500,1369,34
1500 - 1600,1147,24
1600 - 1700,1404,18
1700 - 1800,1547,23
1800 - 1900,734,10
1900 - 2000,1511,15
2000 - 2100,862,20
2100 - 2200,1616,38
2200 - 2300,1367,32
2300 - 0000,742,20
0500 - 0600,540,13
0600 - 0700,1520,10
0700 - 0800,1246,21
0800 - 0900,949,15
0900 - 1000,250,13
1000 - 1100,1869,32
1100 - 1200,1432,31
1200 - 1300,2252,25
1300 - 1400,1835,28
1400 - 1500,984,23
1500 - 1600,939,14
1600 - 1700,2477,11
1700 - 1800,826,9
1800 - 1900,823,16
1900 - 2000,1347,16
2000 - 2100,2309,22
2100 - 2200,788,25
2200 - 2300,1066,19
2300 - 0000,1018,16
0500 - 0600,594,18
0600 - 0700,1522,17
0700 - 0800,754,31
0800 - 0900,1109,23
0900 - 1000,752,32
1000 - 1100,2121,36
1100 - 1200,1086,38
1200 - 1300,2257,37
1300 - 1400,2044,44
1400 - 1500,1072,32
1500 - 1600,1072,18
1600 - 1700,1636,14
1700 - 1800,1792,15
1800 - 1900,768,14
1900 - 2000,798,15
2000 - 2100,1961,19
2100 - 2200,1341,19
2200 - 2300,1733,21
2300 - 0000,748,19
0500 - 0600,595,13
0600 - 0700,1745,18
0700 - 0800,1459,46
0800 - 0900,635,33
0900 - 1000,646,29
1000 - 1100,1949,25
1100 - 1200,2435,33
1200 - 1300,1934,30
1300 - 1400,2341,21
1400 - 1500,2532,37
1500 - 1600,1757,28
1600 - 1700,1288,12
1700 - 1800,1704,14
1800 - 1900,1103,11
1900 - 2000,1875,18
2000 - 2100,1174,24
2100 - 2200,2857,41
2200 - 2300,1239,37
2300 - 0000,907,24
0500 - 0600,459,15
0600 - 0700,1573,14
0700 - 0800,1423,48
0800 - 0900,535,48
0900 - 1000,1976,48
1000 - 1100,1215,47
1100 - 1200,1078,30
1200 - 1300,2619,25
1300 - 1400,1605,26
1400 - 1500,2771,33
1500 - 1600,1263,21
1600 - 1700,2027,11
1700 - 1800,1347,12
1800 - 1900,761,6
1900 - 2000,1906,15
2000 - 2100,1668,19
2100 - 2200,2572,22
2200 - 2300,1220,21
2300 - 0000,877,12
0500 - 0600,1175,23
0600 - 0700,1278,24
0700 - 0800,1422,33
0800 - 0900,823,17
0900 - 1000,1458,26
1000 - 1100,1200,13
1100 - 1200,1954,20
1200 - 1300,2117,16
1300 - 1400,2698,19
1400 - 1500,2630,21
1500 - 1600,2350,19
1600 - 1700,2502,13
1700 - 1800,1105,11
1800 - 1900,1333,12
1900 - 2000,2021,17
2000 - 2100,2035,23
2100 - 2200,1735,28
2200 - 2300,1239,29
2300 - 0000,914,16
0500 - 0600,972,12
0600 - 0700,1803,27
0700 - 0800,1304,65
0800 - 0900,502,44
0900 - 1000,1176,53
1000 - 1100,1368,44
1100 - 1200,1355,30
1200 - 1300,1982,33
1300 - 1400,2402,35
1400 - 1500,3100,49
1500 - 1600,1001,30
1600 - 1700,3239,27
1700 - 1800,2065,25
1800 - 1900,1558,17
1900 - 2000,1024,13
2000 - 2100,1246,16
2100 - 2200,1916,16
2200 - 2300,1310,16
2300 - 0000,1055,16
0500 - 0600,1480,21
0600 - 0700,847,24
0700 - 0800,686,21
0800 - 0900,550,11
0900 - 1000,1426,28
1000 - 1100,1019,24
1100 - 1200,1097,16
1200 - 1300,1643,17
1300 - 1400,1462,29
1400 - 1500,2730,29
1500 - 1600,842,24
1600 - 1700,2050,15
1700 - 1800,2245,16
1800 - 1900,1244,13
1900 - 2000,1349,17
2000 - 2100,1007,25
2100 - 2200,1591,23
2200 - 2300,312,15
2300 - 0000,1133,16
0500 - 0600,602,22
0600 - 0700,1213,24
0700 - 0800,1129,37
0800 - 0900,901,29
0900 - 1000,1077,31
1000 - 1100,804,20
1100 - 1200,1135,21
1200 - 1300,1859,17
1300 - 1400,2113,40
1400 - 1500,2466,49
1500 - 1600,1418,31
1600 - 1700,1594,30
1700 - 1800,1941,11
1800 - 1900,1399,14
1900 - 2000,681,15
2000 - 2100,1877,21
2100 - 2200,769,17
2200 - 2300,799,15
2300 - 0000,1056,22
0500 - 0600,613,22
0600 - 0700,1651,20
0700 - 0800,587,22
0800 - 0900,501,21
0900 - 1000,1741,35
1000 - 1100,1945,43
1100 - 1200,891,36
1200 - 1300,1645,34
1300 - 1400,2379,44
1400 - 1500,2306,48
1500 - 1600,2048,39
1600 - 1700,2572,51
1700 - 1800,1392,36
1800 - 1900,1010,22
1900 - 2000,1583,27
2000 - 2100,2008,42
2100 - 2200,648,35
2200 - 2300,1359,37
2300 - 0000,630,25
0500 - 0600,897,29
0600 - 0700,2525,52
0700 - 0800,539,64
0800 - 0900,665,38
0900 - 1000,1153,31
1000 - 1100,956,33
1100 - 1200,1950,25
1200 - 1300,2569,19
1300 - 1400,1788,22
1400 - 1500,2431,26
1500 - 1600,1672,21
1600 - 1700,2786,22
1700 - 1800,1414,15
1800 - 1900,1045,14
1900 - 2000,1445,19
2000 - 2100,2091,34
2100 - 2200,1587,26
2200 - 2300,560,17
2300 - 0000,1089,17
0500 - 0600,1547,18
0600 - 0700,942,21
0700 - 0800,827,36
0800 - 0900,1041,31
0900 - 1000,1204,45
1000 - 1100,1506,31
1100 - 1200,1189,26
1200 - 1300,2505,19
1300 - 1400,3105,33
1400 - 1500,1926,36
1500 - 1600,3452,24
1600 - 1700,1463,25
1700 - 1800,1677,23
1800 - 1900,1498,24
1900 - 2000,1412,28
2000 - 2100,1576,20
2100 - 2200,1212,15
2200 - 2300,1172,14
2300 - 0000,951,23
0500 - 0600,1416,27
0600 - 0700,1725,46
0700 - 0800,1087,58
0800 - 0900,1285,48
0900 - 1000,646,27
1000 - 1100,1256,18
1100 - 1200,2144,21
1200 - 1300,1893,33
1300 - 1400,3477,40
1400 - 1500,1854,39
1500 - 1600,2180,26
1600 - 1700,2295,17
1700 - 1800,1519,9
1800 - 1900,1716,16
1900 - 2000,2469,20
2000 - 2100,1881,25
2100 - 2200,1659,17
2200 - 2300,646,14
2300 - 0000,841,13
0400 - 0500,226,16
0500 - 0600,1284,27
0600 - 0700,1726,40
0700 - 0800,208,36
0800 - 0900,783,30
0900 - 1000,1135,25
1000 - 1100,1277,22
1100 - 1200,1264,11
1200 - 1300,2639,23
1300 - 1400,2605,31
1400 - 1500,3599,41
1500 - 1600,1926,44
1600 - 1700,1832,39
1700 - 1800,2234,30
1800 - 1900,1871,23
1900 - 2000,1245,33
2000 - 2100,1402,30
2100 - 2200,1066,26
2200 - 2300,693,14
2300 - 0000,997,19
0500 - 0600,913,18
0600 - 0700,1386,34
0700 - 0800,347,39
0800 - 0900,878,30
0900 - 1000,1769,43
1000 - 1100,1388,45
1100 - 1200,1051,36
1200 - 1300,2658,47
1300 - 1400,1141,46
1400 - 1500,1547,29
1500 - 1600,1367,10
1600 - 1700,2821,20
1700 - 1800,1312,17
1800 - 1900,1382,10
1900 - 2000,1085,17
2000 - 2100,1900,21
2100 - 2200,662,13
2200 - 2300,885,22
2300 - 0000,867,20
0500 - 0600,619,21
0600 - 0700,2019,27
0700 - 0800,474,21
0800 - 0900,831,23
0900 - 1000,830,25
1000 - 1100,1286,24
1100 - 1200,1281,21
1200 - 1300,2620,24
1300 - 1400,2170,37
1400 - 1500,2457,45
1500 - 1600,1765,42
1600 - 1700,1841,39
1700 - 1800,1150,35
1800 - 1900,1540,23
1900 - 2000,1162,21
2000 - 2100,476,12
2100 - 2200,1635,20
2200 - 2300,1143,21
2300 - 0000,415,32
0500 - 0600,1549,24
0600 - 0700,731,44
0700 - 0800,1376,36
0800 - 0900,562,27
0900 - 1000,1017,34
1000 - 1100,1689,46
1100 - 1200,1020,54
1200 - 1300,2036,52
1300 - 1400,2733,58
1400 - 1500,1781,44
1500 - 1600,2029,43
1600 - 1700,3152,54
1700 - 1800,1805,48
1800 - 1900,1325,43
1900 - 2000,841,26
2000 - 2100,2012,35
2100 - 2200,1731,47
2200 - 2300,627,46
2300 - 0000,1013,38
0500 - 0600,1005,17
0600 - 0700,1037,24
0700 - 0800,1312,35
0800 - 0900,1162,35
0900 - 1000,474,22
1000 - 1100,1504,33
1100 - 1200,1681,44
1200 - 1300,1262,48
1300 - 1400,2838,46
1400 - 1500,1891,52
1500 - 1600,1426,21
1600 - 1700,2863,33
1700 - 1800,1867,34
1800 - 1900,2071,31
1900 - 2000,852,29
2000 - 2100,1693,29
2100 - 2200,1923,30
2200 - 2300,1522,44
2300 - 0000,677,36
0500 - 0600,1297,21
0600 - 0700,1063,19
0700 - 0800,519,12
0800 - 0900,1289,20
0900 - 1000,1693,35
1000 - 1100,1413,41
1100 - 1200,924,33
1200 - 1300,2460,33
1300 - 1400,3482,45
1400 - 1500,1716,41
1500 - 1600,1777,26
1600 - 1700,2732,25
1700 - 1800,1677,22
1800 - 1900,2063,19
1900 - 2000,1037,16
2000 - 2100,1928,16
2100 - 2200,2058,17
2200 - 2300,1319,30
2300 - 0000,641,24
0500 - 0600,982,18
0600 - 0700,1187,19
0700 - 0800,1211,29
0800 - 0900,629,22
0900 - 1000,1350,34
1000 - 1100,1410,34
1100 - 1200,2246,34
1200 - 1300,2354,41
1300 - 1400,3134,43
1400 - 1500,1340,30
1500 - 1600,2263,21
1600 - 1700,3052,28
1700 - 1800,2064,23
1800 - 1900,976,13
1900 - 2000,1289,14
2000 - 2100,2913,28
2100 - 2200,1722,30
2200 - 2300,653,24
2300 - 0000,1001,13
0500 - 0600,693,13
0600 - 0700,2220,34
0700 - 0800,1352,51
0800 - 0900,908,47
0900 - 1000,471,40
1000 - 1100,1752,48
1100 - 1200,1525,42
1200 - 1300,2699,36
1300 - 1400,2589,57
1400 - 1500,2459,49
1500 - 1600,2117,41
1600 - 1700,1992,41
1700 - 1800,2144,34
1800 - 1900,1369,32
1900 - 2000,671,28
2000 - 2100,1780,23
2100 - 2200,1114,21
2200 - 2300,1113,21
2300 - 0000,986,25
0500 - 0600,903,33
0600 - 0700,1397,57
0700 - 0800,870,61
0800 - 0900,314,32
0900 - 1000,1306,47
1000 - 1100,1556,51
1100 - 1200,1178,40
1200 - 1300,1405,44
1300 - 1400,2336,56
1400 - 1500,1777,41
1500 - 1600,1542,32
1600 - 1700,2447,34
1700 - 1800,1528,33
1800 - 1900,1267,29
1900 - 2000,797,22
2000 - 2100,1422,28
2100 - 2200,865,23
2200 - 2300,1649,28
2300 - 0000,491,32
0500 - 0600,1063,37
0600 - 0700,1495,59
0700 - 0800,663,69
0800 - 0900,744,48
0900 - 1000,1282,51
1000 - 1100,850,49
1100 - 1200,1070,26
1200 - 1300,1781,30
1300 - 1400,2253,51
1400 - 1500,2234,59
1500 - 1600,1520,59
1600 - 1700,2704,50
1700 - 1800,819,18
1800 - 1900,1390,21
1900 - 2000,1113,16
2000 - 2100,1395,17
2100 - 2200,1486,28
2200 - 2300,635,22
2300 - 0000,520,24
0500 - 0600,1738,42
0600 - 0700,293,40
0700 - 0800,919,20
0800 - 0900,530,14
0900 - 1000,695,19
1000 - 1100,2171,22
1100 - 1200,2047,39
1200 - 1300,2157,23
1300 - 1400,2261,38
1400 - 1500,2142,39
1500 - 1600,1545,45
1600 - 1700,2890,43
1700 - 1800,1544,47
1800 - 1900,1377,37
1900 - 2000,985,25
2000 - 2100,2088,45
2100 - 2200,1694,45
2200 - 2300,1309,47
2300 - 0000,580,24
0500 - 0600,1490,27
0600 - 0700,1697,43
0700 - 0800,636,52
0800 - 0900,745,22
0900 - 1000,1431,36
1000 - 1100,1395,30
1100 - 1200,1641,25
1200 - 1300,2567,26
1300 - 1400,2279,39
1400 - 1500,2308,33
1500 - 1600,1620,32
1600 - 1700,1991,28
1700 - 1800,2015,29
1800 - 1900,1571,15
1900 - 2000,1320,23
2000 - 2100,1719,21
2100 - 2200,2027,32
2200 - 2300,805,25
2300 - 0000,598,18
0500 - 0600,1288,17
0600 - 0700,983,18
0700 - 0800,878,28
0800 - 0900,1009,23
0900 - 1000,1342,29
1000 - 1100,1286,39
1100 - 1200,1823,40
1200 - 1300,3378,39
1300 - 1400,1174,42
1400 - 1500,2306,28
1500 - 1600,2577,26
1600 - 1700,2608,21
1700 - 1800,1486,21
1800 - 1900,2015,15
1900 - 2000,935,11
2000 - 2100,1521,15
2100 - 2200,1802,15
2200 - 2300,1469,16
2300 - 0000,425,15
0000 - 0100,171,9
0500 - 0600,1264,27
0600 - 0700,889,27
0700 - 0800,1303,30
0800 - 0900,883,18
0900 - 1000,718,20
1000 - 1100,2011,21
1100 - 1200,2444,31
1200 - 1300,1323,27
1300 - 1400,3013,36
1400 - 1500,2090,25
1500 - 1600,1511,19
1600 - 1700,2306,17
1700 - 1800,3064,14
1800 - 1900,703,17
1900 - 2000,2310,17
2000 - 2100,812,16
2100 - 2200,2726,23
2200 - 2300,957,21
2300 - 0000,1166,14
0500 - 0600,1518,24
0600 - 0700,480,14
0700 - 0800,1729,29
0800 - 0900,870,22
0900 - 1000,1279,29
1000 - 1100,1827,24
1100 - 1200,1547,21
1200 - 1300,2540,25
1300 - 1400,2148,29
1400 - 1500,3016,36
1500 - 1600,1000,24
1600 - 1700,1815,28
1700 - 1800,2421,16
1800 - 1900,1893,18
1900 - 2000,745,16
2000 - 2100,810,12
2100 - 2200,2511,24
2200 - 2300,1100,23
2300 - 0000,917,29
0500 - 0600,953,27
0600 - 0700,629,21
0700 - 0800,1054,17
0800 - 0900,1082,26
0900 - 1000,706,29
1000 - 1100,1165,36
1100 - 1200,1838,22
1200 - 1300,1124,14
1300 - 1400,2680,30
1400 - 1500,1666,33
1500 - 1600,1040,14
1600 - 1700,2793,19
1700 - 1800,2023,33
1800 - 1900,1339,28
1900 - 2000,133,10
2000 - 2100,1211,24
2100 - 2200,1706,35
2200 - 2300,719,22
2300 - 0000,644,26
0500 - 0600,1125,20
0600 - 0700,925,25
0700 - 0800,983,30
0800 - 0900,1022,13
0900 - 1000,1454,24
1000 - 1100,1107,32
1100 - 1200,1518,22
1200 - 1300,1420,27
1300 - 1400,2620,47
1400 - 1500,2359,59
1500 - 1600,1363,54
1600 - 1700,2580,59
1700 - 1800,1313,52
1800 - 1900,1380,38
1900 - 2000,614,27
2000 - 2100,1381,38
2100 - 2200,1451,36
2200 - 2300,348,26
2300 - 0000,874,27
0500 - 0600,1410,27
0600 - 0700,1204,47
0700 - 0800,572,56
0800 - 0900,867,38
0900 - 1000,1253,41
1000 - 1100,1206,26
1100 - 1200,1941,29
1200 - 1300,1705,42
1300 - 1400,2417,49
1400 - 1500,1634,41
1500 - 1600,1679,42
1600 - 1700,2867,44
1700 - 1800,1353,29
1800 - 1900,1178,23
1900 - 2000,615,11
2000 - 2100,1761,30
2100 - 2200,1993,44
2200 - 2300,468,35
2300 - 0000,863,20
0500 - 0600,1099,22
0600 - 0700,1396,27
0700 - 0800,1065,44
0800 - 0900,781,46
0900 - 1000,956,48
1000 - 1100,1414,35
1100 - 1200,1400,31
1200 - 1300,1726,40
1300 - 1400,2800,44
1400 - 1500,2222,46
1500 - 1600,1770,46
1600 - 1700,2857,46
1700 - 1800,1597,32
1800 - 1900,1101,30
1900 - 2000,1539,26
2000 - 2100,1774,23
2100 - 2200,1190,24
2200 - 2300,333,20
2300 - 0000,957,17
0500 - 0600,388,14
0600 - 0700,1414,9
0700 - 0800,1335,20
0800 - 0900,860,21
0900 - 1000,1692,31
1000 - 1100,1273,28
1100 - 1200,1093,19
1200 - 1300,2225,20
1300 - 1400,3078,34
1400 - 1500,2180,32
1500 - 1600,2069,31
1600 - 1700,2409,31
